"state","year","lyme","pop","incidence per 1000"
"Alabama",1993,4,4214202,0.09
"Alabama",1994,6,4260229,0.14
"Alabama",1995,12,4296800,0.28
"Alabama",1996,9,4331102,0.21
"Alabama",1997,11,4367935,0.25
"Alabama",1998,24,4404701,0.54
"Alabama",1999,20,4430141,0.45
"Alabama",2000,6,4451849,0.13
"Alabama",2001,10,4464034,0.22
"Alabama",2002,11,4472420,0.25
"Alabama",2003,8,4490591,0.18
"Alabama",2004,6,4512190,0.13
"Alabama",2005,3,4545049,0.07
"Alabama",2006,11,4597688,0.24
"Alabama",2007,13,4637904,0.28
"Alabama",2008,6,4677464,0.13
"Alabama",2009,3,4708708,0.06
"Alaska",1993,0,599432,0.00
"Alaska",1994,0,603308,0.00
"Alaska",1995,0,604412,0.00
"Alaska",1996,0,608569,0.00
"Alaska",1997,2,612968,0.33
"Alaska",1998,1,619932,0.16
"Alaska",1999,0,624779,0.00
"Alaska",2000,2,627499,0.32
"Alaska",2001,2,633316,0.32
"Alaska",2002,3,642691,0.47
"Alaska",2003,3,650884,0.46
"Alaska",2004,3,661569,0.45
"Alaska",2005,4,669488,0.60
"Alaska",2006,3,677325,0.44
"Alaska",2007,10,682297,1.47
"Alaska",2008,6,688125,0.87
"Alaska",2009,7,698473,1.00
"Arizona",1993,0,4065440,0.00
"Arizona",1994,0,4245089,0.00
"Arizona",1995,1,4432499,0.02
"Arizona",1996,0,4586940,0.00
"Arizona",1997,4,4736990,0.08
"Arizona",1998,1,4883342,0.02
"Arizona",1999,3,5023823,0.06
"Arizona",2000,2,5166697,0.04
"Arizona",2001,3,5304417,0.06
"Arizona",2002,4,5452108,0.07
"Arizona",2003,4,5591206,0.07
"Arizona",2004,13,5759425,0.23
"Arizona",2005,10,5974834,0.17
"Arizona",2006,10,6192100,0.16
"Arizona",2007,2,6362241,0.03
"Arizona",2008,2,6499377,0.03
"Arizona",2009,3,6595778,0.05
"Arkansas",1993,8,2456303,0.33
"Arkansas",1994,15,2494019,0.60
"Arkansas",1995,11,2535399,0.43
"Arkansas",1996,27,2572109,1.05
"Arkansas",1997,27,2601090,1.04
"Arkansas",1998,8,2626289,0.30
"Arkansas",1999,7,2651860,0.26
"Arkansas",2000,7,2678288,0.26
"Arkansas",2001,4,2691068,0.15
"Arkansas",2002,3,2704732,0.11
"Arkansas",2003,0,2722291,0.00
"Arkansas",2004,0,2746161,0.00
"Arkansas",2005,0,2776221,0.00
"Arkansas",2006,0,2815097,0.00
"Arkansas",2007,1,2842194,0.04
"Arkansas",2008,0,2867764,0.00
"Arkansas",2009,0,2889450,0.00
"California",1993,134,31274928,0.43
"California",1994,68,31484435,0.22
"California",1995,84,31696582,0.27
"California",1996,64,32018834,0.20
"California",1997,154,32486010,0.47
"California",1998,135,32987675,0.41
"California",1999,139,33499204,0.41
"California",2000,96,33994571,0.28
"California",2001,95,34485623,0.28
"California",2002,97,34876194,0.28
"California",2003,86,35251107,0.24
"California",2004,48,35558419,0.13
"California",2005,95,35795255,0.27
"California",2006,85,35979208,0.24
"California",2007,75,36226122,0.21
"California",2008,74,36580371,0.20
"California",2009,117,36961664,0.32
"Colorado",1993,0,3613734,0.00
"Colorado",1994,1,3724168,0.03
"Colorado",1995,0,3826653,0.00
"Colorado",1996,0,3919972,0.00
"Colorado",1997,0,4018293,0.00
"Colorado",1998,0,4116639,0.00
"Colorado",1999,3,4226018,0.07
"Colorado",2000,0,4328070,0.00
"Colorado",2001,0,4433068,0.00
"Colorado",2002,1,4504265,0.02
"Colorado",2003,0,4548775,0.00
"Colorado",2004,0,4599681,0.00
"Colorado",2005,0,4660780,0.00
"Colorado",2006,0,4753044,0.00
"Colorado",2007,0,4842259,0.00
"Colorado",2008,2,4935213,0.04
"Colorado",2009,0,5024748,0.00
"Connecticut",1993,1350,3309175,40.80
"Connecticut",1994,2030,3316121,61.22
"Connecticut",1995,1548,3324144,46.57
"Connecticut",1996,3104,3336685,93.03
"Connecticut",1997,2297,3349348,68.58
"Connecticut",1998,3434,3365352,102.04
"Connecticut",1999,3215,3386401,94.94
"Connecticut",2000,3773,3411726,110.59
"Connecticut",2001,3597,3428433,104.92
"Connecticut",2002,4631,3448382,134.29
"Connecticut",2003,1403,3467673,40.46
"Connecticut",2004,1348,3474610,38.80
"Connecticut",2005,1810,3477416,52.05
"Connecticut",2006,1788,3485162,51.30
"Connecticut",2007,3058,3488633,87.66
"Connecticut",2008,2738,3502932,78.16
"Connecticut",2009,2751,3518288,78.19
"DC",1993,2,595301,0.34
"DC",1994,9,589239,1.53
"DC",1995,3,580517,0.52
"DC",1996,3,572377,0.52
"DC",1997,10,567736,1.76
"DC",1998,8,565230,1.42
"DC",1999,6,570213,1.05
"DC",2000,11,571744,1.92
"DC",2001,17,578042,2.94
"DC",2002,25,579585,4.31
"DC",2003,14,577777,2.42
"DC",2004,16,579796,2.76
"DC",2005,10,582049,1.72
"DC",2006,62,583978,10.62
"DC",2007,116,586409,19.78
"DC",2008,71,590074,12.03
"DC",2009,53,599657,8.84
"Delaware",1993,143,706378,20.24
"Delaware",1994,106,717545,14.77
"Delaware",1995,56,729734,7.67
"Delaware",1996,173,740977,23.35
"Delaware",1997,109,751487,14.50
"Delaware",1998,77,763335,10.09
"Delaware",1999,167,774990,21.55
"Delaware",2000,167,786411,21.24
"Delaware",2001,152,794620,19.13
"Delaware",2002,194,804131,24.13
"Delaware",2003,212,814905,26.02
"Delaware",2004,339,826639,41.01
"Delaware",2005,646,839906,76.91
"Delaware",2006,482,853022,56.50
"Delaware",2007,715,864896,82.67
"Delaware",2008,772,876211,88.11
"Delaware",2009,984,885122,111.17
"Florida",1993,30,13927185,0.22
"Florida",1994,28,14239444,0.20
"Florida",1995,17,14537875,0.12
"Florida",1996,55,14853360,0.37
"Florida",1997,56,15186304,0.37
"Florida",1998,71,15486559,0.46
"Florida",1999,59,15759421,0.37
"Florida",2000,54,16047118,0.34
"Florida",2001,43,16353869,0.26
"Florida",2002,79,16680309,0.47
"Florida",2003,43,16981183,0.25
"Florida",2004,46,17375259,0.26
"Florida",2005,47,17783868,0.26
"Florida",2006,34,18088505,0.19
"Florida",2007,30,18277888,0.16
"Florida",2008,72,18423878,0.39
"Florida",2009,77,18537969,0.42
"Georgia",1993,44,6978240,0.63
"Georgia",1994,127,7157165,1.77
"Georgia",1995,14,7328413,0.19
"Georgia",1996,1,7501069,0.01
"Georgia",1997,9,7685099,0.12
"Georgia",1998,5,7863536,0.06
"Georgia",1999,0,8045965,0.00
"Georgia",2000,0,8230161,0.00
"Georgia",2001,0,8419594,0.00
"Georgia",2002,2,8585535,0.02
"Georgia",2003,10,8735259,0.11
"Georgia",2004,12,8913676,0.13
"Georgia",2005,6,9097428,0.07
"Georgia",2006,8,9330086,0.09
"Georgia",2007,11,9533761,0.12
"Georgia",2008,35,9697838,0.36
"Georgia",2009,40,9829211,0.41
"Hawaii",1993,1,1172838,0.09
"Hawaii",1994,0,1187536,0.00
"Hawaii",1995,0,1196854,0.00
"Hawaii",1996,1,1203755,0.08
"Hawaii",1997,0,1211640,0.00
"Hawaii",1998,0,1215233,0.00
"Hawaii",1999,0,1210300,0.00
"Hawaii",2000,0,1211566,0.00
"Hawaii",2001,0,1218305,0.00
"Hawaii",2002,0,1228069,0.00
"Hawaii",2003,0,1239298,0.00
"Hawaii",2004,0,1252782,0.00
"Hawaii",2005,0,1266117,0.00
"Hawaii",2006,0,1275599,0.00
"Hawaii",2007,0,1276832,0.00
"Hawaii",2008,0,1287481,0.00
"Hawaii",2009,0,1295178,0.00
"Idaho",1993,2,1108768,0.18
"Idaho",1994,3,1145140,0.26
"Idaho",1995,0,1177322,0.00
"Idaho",1996,2,1203083,0.17
"Idaho",1997,4,1228520,0.33
"Idaho",1998,7,1252330,0.56
"Idaho",1999,3,1275674,0.24
"Idaho",2000,4,1299551,0.31
"Idaho",2001,5,1321170,0.38
"Idaho",2002,4,1342149,0.30
"Idaho",2003,3,1364109,0.22
"Idaho",2004,6,1391718,0.43
"Idaho",2005,2,1425862,0.14
"Idaho",2006,7,1464413,0.48
"Idaho",2007,9,1499245,0.60
"Idaho",2008,5,1527506,0.33
"Idaho",2009,4,1545801,0.26
"Illinois",1993,19,11809579,0.16
"Illinois",1994,24,11912585,0.20
"Illinois",1995,18,12008437,0.15
"Illinois",1996,10,12101997,0.08
"Illinois",1997,13,12185715,0.11
"Illinois",1998,14,12271847,0.11
"Illinois",1999,17,12359020,0.14
"Illinois",2000,35,12437645,0.28
"Illinois",2001,32,12507833,0.26
"Illinois",2002,47,12558229,0.37
"Illinois",2003,71,12597981,0.56
"Illinois",2004,87,12645295,0.69
"Illinois",2005,127,12674452,1.00
"Illinois",2006,110,12718011,0.86
"Illinois",2007,149,12779417,1.17
"Illinois",2008,108,12842954,0.84
"Illinois",2009,136,12910409,1.05
"Indiana",1993,32,5739019,0.56
"Indiana",1994,19,5793526,0.33
"Indiana",1995,19,5851459,0.32
"Indiana",1996,32,5906013,0.54
"Indiana",1997,33,5955267,0.55
"Indiana",1998,39,5998880,0.65
"Indiana",1999,21,6044969,0.35
"Indiana",2000,23,6091649,0.38
"Indiana",2001,26,6124967,0.42
"Indiana",2002,21,6149007,0.34
"Indiana",2003,25,6181789,0.40
"Indiana",2004,32,6214454,0.51
"Indiana",2005,33,6253120,0.53
"Indiana",2006,26,6301700,0.41
"Indiana",2007,55,6346113,0.87
"Indiana",2008,42,6388309,0.66
"Indiana",2009,61,6423113,0.95
"Iowa",1993,8,2836972,0.28
"Iowa",1994,17,2850746,0.60
"Iowa",1995,16,2867373,0.56
"Iowa",1996,19,2880000,0.66
"Iowa",1997,8,2891119,0.28
"Iowa",1998,27,2902872,0.93
"Iowa",1999,24,2917634,0.82
"Iowa",2000,34,2928184,1.16
"Iowa",2001,36,2929424,1.23
"Iowa",2002,42,2929264,1.43
"Iowa",2003,58,2932799,1.98
"Iowa",2004,49,2941358,1.67
"Iowa",2005,89,2949450,3.02
"Iowa",2006,97,2964391,3.27
"Iowa",2007,123,2978719,4.13
"Iowa",2008,85,2993987,2.84
"Iowa",2009,77,3007856,2.56
"Kansas",1993,54,2556547,2.11
"Kansas",1994,17,2580513,0.66
"Kansas",1995,23,2601007,0.88
"Kansas",1996,36,2614554,1.38
"Kansas",1997,4,2635292,0.15
"Kansas",1998,13,2660598,0.49
"Kansas",1999,16,2678338,0.60
"Kansas",2000,17,2692810,0.63
"Kansas",2001,2,2701456,0.07
"Kansas",2002,7,2712598,0.26
"Kansas",2003,4,2721955,0.15
"Kansas",2004,3,2730765,0.11
"Kansas",2005,3,2741771,0.11
"Kansas",2006,4,2755700,0.15
"Kansas",2007,8,2775586,0.29
"Kansas",2008,16,2797375,0.57
"Kansas",2009,18,2818747,0.64
"Kentucky",1993,16,3812206,0.42
"Kentucky",1994,24,3849088,0.62
"Kentucky",1995,16,3887427,0.41
"Kentucky",1996,26,3919535,0.66
"Kentucky",1997,20,3952747,0.51
"Kentucky",1998,27,3985390,0.68
"Kentucky",1999,19,4018053,0.47
"Kentucky",2000,13,4048903,0.32
"Kentucky",2001,23,4069191,0.57
"Kentucky",2002,25,4091330,0.61
"Kentucky",2003,17,4118627,0.41
"Kentucky",2004,15,4147970,0.36
"Kentucky",2005,5,4182293,0.12
"Kentucky",2006,7,4219374,0.17
"Kentucky",2007,6,4256278,0.14
"Kentucky",2008,5,4287931,0.12
"Kentucky",2009,1,4314113,0.02
"Louisiana",1993,3,4316428,0.07
"Louisiana",1994,4,4347481,0.09
"Louisiana",1995,9,4378779,0.21
"Louisiana",1996,9,4398877,0.20
"Louisiana",1997,13,4421071,0.29
"Louisiana",1998,15,4440344,0.34
"Louisiana",1999,9,4460811,0.20
"Louisiana",2000,8,4468979,0.18
"Louisiana",2001,8,4460816,0.18
"Louisiana",2002,5,4466068,0.11
"Louisiana",2003,7,4474726,0.16
"Louisiana",2004,2,4489327,0.04
"Louisiana",2005,3,4497691,0.07
"Louisiana",2006,1,4240327,0.02
"Louisiana",2007,2,4376122,0.05
"Louisiana",2008,3,4451513,0.07
"Louisiana",2009,0,4492076,0.00
"Maine",1993,18,1242302,1.45
"Maine",1994,33,1242662,2.66
"Maine",1995,45,1243480,3.62
"Maine",1996,63,1249060,5.04
"Maine",1997,34,1254774,2.71
"Maine",1998,78,1259127,6.19
"Maine",1999,41,1266808,3.24
"Maine",2000,71,1277211,5.56
"Maine",2001,108,1284791,8.41
"Maine",2002,219,1293938,16.93
"Maine",2003,175,1303102,13.43
"Maine",2004,225,1308253,17.20
"Maine",2005,247,1311631,18.83
"Maine",2006,338,1314963,25.70
"Maine",2007,529,1317308,40.16
"Maine",2008,780,1319691,59.10
"Maine",2009,791,1318301,60.00
"Maryland",1993,180,4971889,3.62
"Maryland",1994,341,5023060,6.79
"Maryland",1995,454,5070033,8.95
"Maryland",1996,447,5111986,8.74
"Maryland",1997,494,5157328,9.58
"Maryland",1998,659,5204464,12.66
"Maryland",1999,899,5254509,17.11
"Maryland",2000,688,5310579,12.96
"Maryland",2001,608,5375033,11.31
"Maryland",2002,738,5439913,13.57
"Maryland",2003,691,5496708,12.57
"Maryland",2004,891,5542659,16.08
"Maryland",2005,1235,5582520,22.12
"Maryland",2006,1248,5612196,22.24
"Maryland",2007,2576,5634242,45.72
"Maryland",2008,1746,5658655,30.86
"Maryland",2009,1466,5699478,25.72
"Massachusetts",1993,148,6060569,2.44
"Massachusetts",1994,247,6095241,4.05
"Massachusetts",1995,189,6141445,3.08
"Massachusetts",1996,321,6179756,5.19
"Massachusetts",1997,291,6226058,4.67
"Massachusetts",1998,699,6271838,11.15
"Massachusetts",1999,787,6317345,12.46
"Massachusetts",2000,1158,6363015,18.20
"Massachusetts",2001,1164,6411730,18.15
"Massachusetts",2002,1807,6440978,28.05
"Massachusetts",2003,1532,6451637,23.75
"Massachusetts",2004,1532,6451279,23.75
"Massachusetts",2005,2336,6453031,36.20
"Massachusetts",2006,1432,6466399,22.15
"Massachusetts",2007,2988,6499275,45.97
"Massachusetts",2008,3960,6543595,60.52
"Massachusetts",2009,4019,6593587,60.95
"Michigan",1993,23,9540114,0.24
"Michigan",1994,33,9597737,0.34
"Michigan",1995,5,9676211,0.05
"Michigan",1996,28,9758645,0.29
"Michigan",1997,27,9809051,0.28
"Michigan",1998,17,9847942,0.17
"Michigan",1999,11,9897116,0.11
"Michigan",2000,23,9955308,0.23
"Michigan",2001,21,10006093,0.21
"Michigan",2002,26,10038767,0.26
"Michigan",2003,12,10066351,0.12
"Michigan",2004,27,10089305,0.27
"Michigan",2005,62,10090554,0.61
"Michigan",2006,55,10082438,0.55
"Michigan",2007,51,10050847,0.51
"Michigan",2008,76,10002486,0.76
"Michigan",2009,81,9969727,0.81
"Minnesota",1993,141,4555954,3.09
"Minnesota",1994,208,4610355,4.51
"Minnesota",1995,208,4660180,4.46
"Minnesota",1996,251,4712827,5.33
"Minnesota",1997,256,4763390,5.37
"Minnesota",1998,261,4813412,5.42
"Minnesota",1999,283,4873481,5.81
"Minnesota",2000,465,4933958,9.42
"Minnesota",2001,461,4982813,9.25
"Minnesota",2002,867,5017458,17.28
"Minnesota",2003,474,5047862,9.39
"Minnesota",2004,1023,5079344,20.14
"Minnesota",2005,917,5106560,17.96
"Minnesota",2006,914,5148346,17.75
"Minnesota",2007,1238,5191206,23.85
"Minnesota",2008,1046,5230567,20.00
"Minnesota",2009,1063,5266214,20.19
"Mississippi",1993,0,2655100,0.00
"Mississippi",1994,0,2688992,0.00
"Mississippi",1995,17,2722659,0.62
"Mississippi",1996,24,2748085,0.87
"Mississippi",1997,27,2777004,0.97
"Mississippi",1998,17,2804834,0.61
"Mississippi",1999,4,2828408,0.14
"Mississippi",2000,3,2848310,0.11
"Mississippi",2001,8,2853313,0.28
"Mississippi",2002,12,2858643,0.42
"Mississippi",2003,21,2867678,0.73
"Mississippi",2004,0,2886006,0.00
"Mississippi",2005,0,2900116,0.00
"Mississippi",2006,3,2897150,0.10
"Mississippi",2007,1,2921723,0.03
"Mississippi",2008,1,2940212,0.03
"Mississippi",2009,0,2951996,0.00
"Missouri",1993,108,5271175,2.05
"Missouri",1994,102,5324497,1.92
"Missouri",1995,53,5378247,0.99
"Missouri",1996,52,5431553,0.96
"Missouri",1997,28,5481193,0.51
"Missouri",1998,12,5521765,0.22
"Missouri",1999,72,5561948,1.29
"Missouri",2000,47,5606065,0.84
"Missouri",2001,37,5643986,0.66
"Missouri",2002,41,5680852,0.72
"Missouri",2003,70,5714847,1.22
"Missouri",2004,25,5758444,0.43
"Missouri",2005,15,5806639,0.26
"Missouri",2006,5,5861572,0.09
"Missouri",2007,10,5909824,0.17
"Missouri",2008,6,5956335,0.10
"Missouri",2009,3,5987580,0.05
"Montana",1993,0,844761,0.00
